address;source_location;insn;indent
0x156d;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;ENDBR64;
0x1571;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;PUSH	%RBP;
0x1572;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;MOV	%RSP,%RBP;
0x1575;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;SUB	$0xa0,%RSP;
0x157c;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;MOV	%RDI,-0x88(%RBP);
0x1583;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;MOV	%RSI,-0x90(%RBP);
0x158a;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;MOVSS	%XMM0,-0x94(%RBP);
0x1592;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;MOV	%FS:0x28,%RAX;
0x159b;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;MOV	%RAX,-0x8(%RBP);
0x159f;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:63;XOR	%EAX,%EAX;
0x15a1;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:65;PXOR	%XMM0,%XMM0;
0x15a5;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:65;MOVSS	%XMM0,-0x7c(%RBP);
0x15aa;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:67;MOVL	$-0x1,-0x60(%RBP);
0x15b1;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:67;MOVL	$0,-0x5c(%RBP);
0x15b8;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:67;MOVL	$0x1,-0x58(%RBP);
0x15bf;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:67;MOVL	$-0x2,-0x54(%RBP);
0x15c6;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:67;MOVL	$0,-0x50(%RBP);
