address;source_location;insn;indent
0x31a0;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;ENDBR64;
0x31a4;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:164;VMOVDQA	0x1fc4(%RIP),%XMM14;
0x31ac;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:164;VMOVDQA	0x1fcc(%RIP),%XMM12;
0x31b4;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:164;LEA	0xefd(%RDI),%RAX;
0x31bb;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:164;VMOVDQA	0x1f6d(%RIP),%XMM13;
0x31c3;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;PUSH	%R15;
0x31c5;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;PUSH	%R14;
0x31c7;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;PUSH	%R13;
0x31c9;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;PUSH	%R12;
0x31cb;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;PUSH	%RBP;
0x31cc;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;XOR	%R12D,%R12D;
0x31cf;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;PUSH	%RBX;
0x31d0;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;MOV	%RSI,%RBX;
0x31d3;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;LEA	0xef3(%RBX),%RCX;
0x31da;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;MOV	%RSI,-0x20(%RSP);
0x31df;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;ADD	$0xefc,%RBX;
0x31e6;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;LEA	0x2a11fd(%RDI),%RSI;
0x31ed;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;MOV	%RSI,-0x28(%RSP);
0x31f2;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;MOV	%RCX,-0x18(%RSP);
0x31f7;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:162;MOV	%RBX,-0x10(%RSP);
0x31fc;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:166;MOV	-0x20(%RSP),%R15;(8) 
0x3201;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:166;LEA	-0xef5(%RAX),%RBP;(8) 
0x3208;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:166;LEA	-0xefd(%RAX),%R13;(8) 
0x320f;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:166;LEA	-0xefb(%RAX),%R11;(8) 
0x3216;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:166;LEA	-0xef7(%RAX),%R10;(8) 
0x321d;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:166;LEA	-0xef8(%RAX),%R9;(8) 
0x3224;/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/sobel.c:166;LEA	-0xefa(%RAX),%R8;(8) 
